perioada:1981 - 2010
parametru:Temperatura aer - medie lunara (TEMP_MEDL)
cod;statia;I;II;III;IV;V;VI;VII;VIII;IX;X;XI;XII;anuala
element: media
518934;C.A.ROSETTI;-;5.2;-;-;-;-;21.5;22.5;-;-;-;-;-
911355;C.LIBERTATII;-3.3;-2.8;3.9;9.9;15.8;17.8;19.2;18.8;15.9;9.3;3;-0.7;8.9
359257;CALAFAT;0;1.6;6.5;12.3;18;21.7;23.9;23.2;18;11.9;5.4;0.8;12
412721;CALARASI;-0.4;1.1;5.9;11.7;17.6;21.5;23.4;22.7;17.8;11.9;5.9;1.1;11.7
706515;CALIMANI(RETITIS);-8.4;-8.8;-6.6;-1.8;3.7;7.3;9.3;9.2;4.3;1.1;-3.3;-7.2;-0.1
517545;CAMPINA;-1.1;-0.5;3.5;9.4;14.8;18.3;20;19.3;14.5;9.3;4;0;9.3
406421;CARACAL;-1.2;0.7;5.8;11.7;17.5;21.4;23.5;22.9;17.8;11.7;5;0;11.4
525215;CARANSEBES;-0.4;0.9;5.4;10.9;15.9;18.9;20.8;20.5;15.8;11.1;5.7;1.1;10.5
505923;CARAORMAN;1.2;2.3;5.9;10.8;15.9;19.7;22.8;22;16.4;9.8;0.9;0.9;10.6
742228;CAREI;-2.1;-0.7;4.3;10.2;15.8;18.6;20.6;19.9;14.8;9.2;3.9;-0.4;9.5
659558;CEAHLAU MUNTE;-;-;-;-;-;-;-;-;-;-;-;-;-
656555;CEAHLAU TOACA;-7.8;-8.4;-5.8;-0.7;5;8.1;10.1;10.1;5.7;2;-2.8;-6.5;0.8
702556;CEAHLAU-SAT;-2.8;-2.5;1.5;6.9;12.7;15.9;17.3;16.6;12.6;7.7;1.5;-1.8;7.1
421803;CERNAVODA;-0.3;1.5;5.5;11;16.6;21.1;23.3;22.8;17.5;12;6.4;1.1;11.5
527556;CHEIA;-3;-3;-0.2;5.4;10.4;14;15.6;14.9;10.9;6.1;0.9;-2.3;5.8
525918;CHILIA;-0.8;0.3;4;10.8;16.6;20.9;23.1;22.1;16.7;11.1;5.3;0.8;10.9
632130;CHISINEU CRIS;-1.1;0.3;5.3;11.1;16.7;19.7;21.6;21;16;10.6;4.9;0.6;10.6
501701;CILIBIA;-2.2;-1.5;4.9;9;16.3;21.2;20.9;21;18.3;12.2;3.1;1.8;10.4
622303;CIMPENI(BISTRA);-3;-1.9;2.5;7.9;13;15.9;17.8;17.3;12.9;8.2;2.4;-2;7.5
646340;CLUJ SCCP;-3.4;-;-;-;-;-;-;-;-;-;-;-;-
647334;CLUJ-NAPOCA;-2.9;-1.4;3.8;9.5;14.7;17.6;19.4;18.9;14.2;9;3;-1.6;8.7
413838;CONSTANTA;1.3;2;5.5;10.3;16.1;20.7;23.2;23;18.6;13.5;7.7;3;12.1
444820;CORUGEA;-1.4;-0.3;3.8;9.6;15.4;19.7;22.1;21.5;16.4;10.9;5;0;10.2
722657;COTNARI;-1.7;-0.8;3.5;9.9;15.9;19.1;21;20.5;15.6;10.1;3.9;-0.7;9.7
551613;COVASNA;-2.8;-2.3;2.9;7.8;11.8;15.5;18.1;18.2;12.6;7.9;2.4;-2.6;7.6
414352;CRAIOVA;-1.1;0.8;5.6;11.6;17.1;20.8;22.9;22.4;17.5;11.5;5;0;11.2
418348;CRAIOVA BALTA VERDE;-;-;-;-;-;-;-;-;-;-;-;-;-
511924;CRISAN;0.7;2.1;6.1;11.4;16.3;19.9;22.8;22;16.5;9.8;0.7;0.7;10.5
518231;CUNTU;-4;-4.3;-1.4;3.3;8.8;11.7;13.8;13.9;9.5;5.8;1.2;-2.6;4.6
509441;CURTEA DE ARGES;-1.5;-0.4;3.9;9.7;14.9;18.4;20.2;19.5;14.6;9.1;3.7;-0.3;9.3
812637;DARABANI;-3.1;-1.3;2.8;9.3;15.2;18.4;20.4;19.6;14.3;9;2.9;-2.2;8.8
500432;DEDULESTI-MORARESTI;-1;-0.2;3.8;9.4;14.7;18.3;20.4;19.9;15;9.6;4.2;0;9.5
709352;DEJ;-3.4;-2;3.7;9.9;15.4;18.3;20;19.2;14.3;8.9;2.9;-1.8;8.8
553254;DEVA;-1.5;0.3;5.3;10.7;15.8;18.6;20.5;20.2;15.4;10.2;4.3;-0.2;10
425702;DILGA;-1.8;-0.5;4.5;11;16.9;20.7;22.3;21.7;17;11;4.1;-0.2;10.6
539101;DINIASI;-1.3;0.1;5.7;10.9;16.3;18.9;21.3;20.7;16.8;10.8;4;1;10.4
725638;DOLHASCA;-3.3;-2.5;1.7;8.7;14.5;17.9;19.5;18.5;13.7;8.3;2;-2.1;8
756625;DOROHOI;-2.3;-1.7;2.6;9.1;15.2;18.3;19.9;19.3;14.8;9.3;2.2;-1.5;8.7
444417;DRAGASANI;-0.4;1.1;5.7;11.4;16.8;20.3;22.5;22.1;17.3;11.7;5.3;0.6;11.2
944417;DRAGASANI ASAS;-0.8;0.5;5.3;11.4;16.9;20.4;22.4;21.8;17.5;11.4;4.6;0.6;11
438238;DROBETA TR.SEVERIN;0.4;2;6.5;12.2;17.8;21.4;23.6;23.3;18.1;12.2;5.9;1.3;12.1
614436;DUMBRAVENI;-3;-1.6;3.6;9.4;14.8;17.8;19.5;18.7;13.9;8.7;3;-1.6;8.6
639210;DUMBRAVITA DE CODRU;-0.6;0.4;4.2;10.2;15.3;18.1;20.5;20.4;15.3;10.8;5.2;0.5;10
459913;DUNAVATU DE JOS;1.2;3.6;6;11;16;19.8;23;22.5;16.7;9.8;1.1;1.2;-
551459;FAGARAS;-3.5;-2.3;3.2;9;14.4;17.4;19.1;18.4;13.7;8.4;2.5;-2.2;8.2
728620;FALTICENI;-2.4;-1.9;2.1;8.3;14.4;17.5;18.9;18.3;14;8.8;2.2;-1.4;8.2
409849;FARU VERDE;1.5;3;5.9;10.8;14.8;19.5;22.8;22.8;18.1;13.5;9;5.3;12.8
505719;FAUREI;-1.4;-0.3;4.4;10.9;16.9;20.9;22.8;22;17.2;11.1;4.1;-0.2;10.7
422751;FETESTI;-0.7;0.4;5.1;11.1;16.9;21;23;22.4;17.5;11.9;5.4;0.8;11.2
433330;FILIASI;-1.4;0.9;4.7;11;16.9;20.7;22.3;21.9;16;10.7;3.7;-1;10.5
541712;FOCSANI;-1.5;0.1;4.9;11.2;17.3;21;23;22.3;17.1;11.2;4.7;-0.5;10.9
528518;FUNDATA;-4.6;-4.7;-1.4;3.9;9.2;12.4;14.3;14.3;9.9;5.5;0.6;-3.3;4.7
428632;FUNDULEA;-1.8;-0.2;5;11.1;17.2;21;23;22.5;17.4;11.2;4.7;-0.3;10.9
530801;GALATI;-1.2;0.2;4.9;11.1;17.2;21;23.1;22.5;17.3;11.5;5.2;0.1;11.1
555312;GEOAGIU;-3.1;-2.2;4.2;10.1;15.9;17.8;19.4;19;15.9;9.6;2.8;-0.3;9
352557;GIURGIU;-1.3;0.5;6;12.2;18.1;21.9;23.9;23.4;18.2;12;5.3;0.2;11.7
431937;GLORIA;2.8;3.1;5.5;9.9;15.9;20.9;23.8;24;19.4;14.6;9.5;4.7;12.8
511912;GORGOVA;0;0.8;4.9;11;17;21;23;22;17;11.6;6.1;1.5;11.3
