perioada:1981 - 2010
parametru:Temperatura aer - medie lunara (TEMP_MEDL)
cod;statia;I;II;III;IV;V;VI;VII;VIII;IX;X;XI;XII;anuala
element: media
521534;Sinaia Manastire;-;-;-;-;-;-;-;-;-;-;-;-;-
515231;TARCU;-8.1;-8.7;-6.5;-2.4;2.8;6.1;8.2;8.5;4.5;1.3;-3.4;-6.8;-0.4
622414;TARNAVENI(BOBOHALMA);-2.2;-0.3;3.9;9.7;14.8;17.9;20;19.6;14.7;9.9;4.2;-1.2;9.3
610244;TEBEA;-1.9;-0.3;4.4;9.7;14.8;17.7;19.5;19.1;14.3;9.5;3.9;-0.4;9.2
551716;TECUCI;-1.8;-0.3;4.5;10.8;17;20.5;22.4;21.6;16.4;10.6;4.4;-0.7;10.4
502317;TG.JIU;-1.4;0.6;5.5;11.3;16.5;19.9;21.9;21.1;16;10.3;4.4;-0.3;10.5
503317;TG.JIU BIRSESTI;-;-;-;-;-;-;-;-;-;-;-;-;-
502320;TG.JIU DRAGOENI;-1;0.1;5.2;10.9;16.1;18.9;21.4;20.7;16.8;10.5;4;0.5;10.4
726352;TG.LAPUS;-3.6;-2.3;2.2;8.5;13.6;16.8;18.7;17.7;12.7;7.8;2.7;-2.4;7.7
453344;TG.LOGRESTI;-1.5;0;4.6;10.5;15.8;19.3;21.2;20.4;15.3;9.7;4.1;-0.3;9.9
632432;TG.MURES;-3;-1.5;4.2;10.3;15.6;18.5;20.2;19.6;14.8;9.2;3.4;-1.4;9.2
714623;TG.NEAMT;-2.3;-1.5;2.6;8.7;14.6;17.8;19.7;18.9;14.2;8.9;3.1;-1.3;8.6
617637;TG.OCNA;-1.2;-0.2;4;10;15.8;19;20.8;20.1;15.3;10;4;-0.3;9.8
600608;TG.SECUIESC;-4.6;-3.7;1.6;7.7;13.4;16.5;18.2;17.8;13;7.7;1.8;-3.2;7.2
444608;TIGANESTI;-;-;-;-;-;-;-;-;-;-;-;-;-
402356;TIMBURESTI;-1.2;1.1;5.8;11.5;17.1;21.2;23.4;22.5;17.5;11.3;4.2;-0.2;11.2
546115;TIMISOARA;-0.5;1.2;6;11.6;17;20.1;22.1;21.6;16.6;11.3;5.5;1.1;11.1
456526;TIRGOVISTE;-1.1;0.1;4.6;10.4;15.9;19.6;21.5;20.9;15.9;10.3;4.5;0.1;10.2
504804;TITCOV BALTA BRAILEI;0.4;-1.7;4.2;-;-;-;-;-;-;-;-;-;-
526423;TITESTI;-1.2;-0.6;3.3;8.5;13.4;16.4;18.2;17.9;14;9.2;3.2;-0.4;8.5
439534;TITU;-1.6;-0.1;4.9;10.9;16.8;20.5;22.2;21.5;16.4;10.7;4.5;-0.4;10.5
655522;TOPLITA;-5.9;-4.8;0.3;6.4;12.2;15.4;17;16.3;11.5;6.3;0.2;-4.7;5.8
500437;TRANSFAG. VARA;-6.5;-7.5;-0.8;-1.6;3;9.9;8.5;8.8;6.9;3.7;-;-2.4;-
526433;TRANSFAG.CUMPANA;-2.7;-2.8;0.3;5.8;10.9;14;15.8;15.3;11.4;6.7;1.4;-1.9;6.2
511849;TULCEA;0;1;5.1;11;17;21.1;23.2;22.3;17.2;11.7;6.1;1.5;11.4
555640;TULNICI;-1.1;-1;2.5;8.3;13.7;17.1;19;18.5;14.3;9.3;3.2;-0.2;8.6
635347;TURDA;-2.8;-1.3;4.1;9.9;15.3;18.1;20;19.6;15;9.6;3.3;-1.6;9.1
346452;TURNU MAGURELE;-1.1;0.7;6.1;12.3;18.1;21.8;23.8;23.3;18;11.7;5.1;0.2;11.7
443639;URZICENI;-1.1;0.4;5.3;11.4;17.6;21.4;23.2;22.6;17.3;11.4;5;0;11.2
459613;VALEA CALUGAREASCA;0;0.1;5.4;11.1;16.6;20.1;22;21.9;17.9;12;4.7;1.1;11
410829;VALUL TRAIAN;0;0.5;4;9.7;15.3;19.7;21.7;20.9;16.6;11.5;5.5;1.7;10.5
602213;VARADIA DE MURES;-1.5;0.2;5;10.4;15.6;18.7;20.5;19.9;15;9.8;4.3;0.1;9.8
639744;VASLUI;-2.3;-0.9;3.9;10.3;16.4;19.8;21.5;20.7;15.6;10;4.1;-0.9;9.8
722822;VATRA DORNEI;-5;-4;-0.6;5;10.1;14;15.6;14.9;10;5.6;-0.6;-4.5;5.1
527527;VF. OMU;-10;-10.8;-8.5;-4.2;0.8;4;6.1;6.4;2.7;-0.5;-5.2;-8.6;-2.3
518420;VF.COZIA;-5;-5.4;-2.9;1.8;7.1;10.4;12.5;12.5;8.4;4.3;-0.9;-4.1;3.2
417530;VIDELE;-1.6;0.2;5.4;11.5;17.4;21.3;23.2;22.7;17.5;11.4;4.8;-0.2;11.1
426251;VINJU MARE;-0.7;1;5.7;11.6;17.1;20.5;22.7;22.1;17;11.1;4.3;0;11
500743;VIZIRU;-1.3;-0.5;4.2;10.8;17;20.8;22.3;21.4;16.9;10.9;4.1;0.1;10.5
647248;VLADEASA-1400;-3.4;-4;-2.2;3.2;8.3;11;13.5;13.6;9.1;5.3;0.4;-2.8;4.3
646247;VLADEASA-1800;-6.9;-7.2;-4.8;-0.1;5.3;8.1;10.3;10.4;6.2;2.8;-2.1;-5.5;1.4
525358;VOINEASA;-3.2;-1.5;2.6;7.9;12.9;16;17.6;17;12.7;7.8;2;-2;7.5
505519;VOINESTI;-0.4;0.2;4.3;9.3;14.7;18.6;20;19.3;14.9;10.1;4.4;0.4;9.7
711305;ZALAU;-1.2;0.2;4.9;10.6;15.8;18.6;20.6;20.1;15.3;10.4;4.8;0.2;10
654229;ZECEHOTARE;-1.5;-0.2;2.7;8.2;12.8;16.3;18.4;18.3;13.2;8.6;2.8;-0.8;8.2
340521;ZIMNICEA;-0.9;0.8;6.1;12.3;18;21.8;23.7;23;17.8;11.7;5.2;0.4;11.7
element: % lipsuri - pentru detalii privind perioada consultati catalogul datelor de pe site-ul MeteoRomania
408800;ADAMCLISI;;;;;;3.3;3.3;;;;;;0.5;
606705;ADJUD;;;;;;;;;;;;;;
559439;AGNITA;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;43.3;43.3;43.3;40.8;
618346;AIUD CIUMBRUD;53.3;53.3;53.3;53.3;53.3;53.3;53.3;56.6;56.6;56.6;56.6;56.6;54.6;
604335;ALBA IULIA;;;;;;;;;;;;;;
359521;ALEXANDRIA;;;;;;;;;;;;;;
608121;ARAD;;;;;;;;;;;;;;
805657;AVRAMENI;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;43.3;43.3;43.3;40.8;
452230;B.HERCULANE;;;;3.3;;;;;;;;;0.2;
524528;BABELE;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;63.3;63.3;63.3;60.8;
635658;BACAU;;;;;;;;;;;;;;
740330;BAIA-MARE;;;;;;;;;;;;;;
401321;BAILESTI;;;;;;;;;;;;;;
634322;BAISOARA;;;;;;;;;;;;;;
438357;BALCESTI;36.6;40.0;40.0;40.0;40.0;40.0;40.0;40.0;36.6;36.6;40.0;40.0;39.1;
605755;BALINTESTI;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;
403605;BANEASA DE GIURGIU;73.3;73.3;73.3;73.3;73.3;73.3;73.3;73.3;73.3;73.3;73.3;73.3;73.2;
523108;BANLOC;;;;;;;;;;;;;;
605537;BARAOLT;;;;;;;;;;;;;;
654438;BATOS;23.3;23.3;23.3;26.6;26.6;20.0;20.0;20.0;20.0;23.3;23.3;23.3;22.7;
347357;BECHET;;;;;;;;;;;;;;
947357;BECHET ASAS;36.6;36.6;36.6;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;39.1;
607753;BERESTI;36.6;36.6;36.6;36.6;36.6;36.6;36.6;36.6;36.6;36.6;36.6;40.0;36.8;
439157;BERZASCA;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.2;
525138;BERZOVIA;53.3;53.3;53.3;53.3;53.3;53.3;56.6;56.6;56.6;56.6;56.6;56.6;54.9;
428307;BICLES;;;;;3.3;;;;;;;;0.2;
917507;BILCESTI;63.3;63.3;66.6;66.6;66.6;66.6;66.6;66.6;66.6;66.6;66.6;66.6;66.0;
536437;BILEA-LAC;;;;3.3;3.3;;;3.3;3.3;;;;1.1;
614740;BIRLAD;;;;;;;;;;;;;;
700733;BIRNOVA-RADAR;76.6;76.6;76.6;76.6;76.6;76.6;76.6;76.6;76.6;76.6;76.6;76.6;76.5;
533642;BISOCA;10.0;13.3;13.3;13.3;13.3;10.0;10.0;10.0;10.0;10.0;10.0;10.0;11.0;
708430;BISTRITA;;;;;;;;;;;;;;
710431;BISTRITA SCPP;73.3;73.3;73.3;73.3;73.3;73.3;73.3;76.6;73.3;73.3;73.3;73.3;73.5;
611355;BLAJ;;;;;;3.3;;;;3.3;;;0.5;
538416;BOITA;;;;;;;3.3;;;;;;0.2;
659236;BOROD;;;;;;;;;;;;;;
741640;BOTOSANI;;;;;;;;;;;;;;
455200;BOZOVICI;;;;3.3;;;;;;;;;0.2;
512755;BRAILA;;;;;;;;;;;;;;
542532;BRASOV;;;;;;;;;;;;;;
631611;BRUSTUROASA;46.6;46.6;46.6;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;49.1;
430613;BUC-AFUMATI;26.6;26.6;26.6;26.6;26.6;26.6;26.6;26.6;26.6;23.3;23.3;23.3;25.7;
430608;BUC-BANEASA;;;;;;;;;;;;;;
425606;BUC-FILARET;;;;;;;;;3.3;3.3;;;0.5;
639518;BUCIN;;;;;;;;;;;;;;
414629;BUDESTI;90.0;90.0;90.0;90.0;93.3;93.3;93.3;93.3;93.3;93.3;93.3;93.3;92.1;
509649;BUZAU;;;;;;;;;;;;;;
732534;C-LUNG MOLDOVENESC;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.2;
517507;C-LUNG MUSCEL;;;;;;;;;;;;;;
518934;C.A.ROSETTI;100.0;96.6;100.0;100.0;100.0;100.0;96.6;96.6;100.0;100.0;100.0;100.0;99.1;
911355;C.LIBERTATII;76.6;76.6;76.6;76.6;76.6;76.6;76.6;76.6;76.6;76.6;76.6;76.6;76.5;
359257;CALAFAT;;;;;;;;;;;;;;
412721;CALARASI;;;;;;;;;;;;;;
706515;CALIMANI(RETITIS);30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;
517545;CAMPINA;;3.3;3.3;3.3;;;;;;;;;0.8;
406421;CARACAL;;;;;;;;;;;;;;
525215;CARANSEBES;;;;;;;;;;;;;;
505923;CARAORMAN;93.3;93.3;93.3;93.3;93.3;93.3;93.3;93.3;96.6;96.6;96.6;93.3;94.1;
742228;CAREI;56.6;56.6;56.6;56.6;56.6;56.6;56.6;56.6;56.6;56.6;56.6;56.6;56.5;
659558;CEAHLAU MUNTE;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
656555;CEAHLAU TOACA;;;;;;;;;;;;;;
702556;CEAHLAU-SAT;36.6;36.6;36.6;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;39.1;
421803;CERNAVODA;16.6;16.6;16.6;16.6;16.6;16.6;13.3;13.3;13.3;13.3;13.3;13.3;14.9;
527556;CHEIA;53.3;53.3;53.3;53.3;50.0;53.3;50.0;53.3;53.3;53.3;53.3;53.3;52.7;
525918;CHILIA;46.6;46.6;46.6;46.6;46.6;46.6;46.6;46.6;46.6;46.6;46.6;46.6;46.6;
632130;CHISINEU CRIS;;;;;;;;;;;;;;
501701;CILIBIA;93.3;93.3;93.3;93.3;93.3;93.3;93.3;93.3;93.3;93.3;93.3;93.3;93.2;
622303;CIMPENI(BISTRA);;3.3;3.3;3.3;6.6;3.3;;3.3;;;;;1.9;
646340;CLUJ SCCP;96.6;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.7;
647334;CLUJ-NAPOCA;;;;;;;;;;;;;;
413838;CONSTANTA;;;;;;;;;;;;;;
444820;CORUGEA;3.3;;;;6.6;;;;;;;3.3;1.1;
722657;COTNARI;;;;;;;;;;;;;;
551613;COVASNA;80.0;80.0;80.0;80.0;80.0;80.0;83.3;83.3;83.3;83.3;83.3;83.3;81.6;
414352;CRAIOVA;;;;;;;;;;;;;;
418348;CRAIOVA BALTA VERDE;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
511924;CRISAN;93.3;93.3;93.3;93.3;93.3;93.3;93.3;93.3;96.6;96.6;96.6;96.6;94.3;
518231;CUNTU;;;;6.6;3.3;;;;;;;;0.8;
509441;CURTEA DE ARGES;;;;;;;;;;;;;;
812637;DARABANI;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;16.6;16.6;19.4;
500432;DEDULESTI-MORARESTI;;;;;;;;;;;;;;
709352;DEJ;;;;;;;;;;;;;;
553254;DEVA;;;;;;;;;;;;;;
425702;DILGA;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.2;
539101;DINIASI;63.3;63.3;63.3;66.6;66.6;66.6;66.6;66.6;66.6;66.6;66.6;66.6;65.7;
725638;DOLHASCA;50.0;50.0;50.0;50.0;50.0;50.0;50.0;53.3;53.3;53.3;53.3;53.3;51.3;
756625;DOROHOI;36.6;36.6;36.6;36.6;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;38.8;
444417;DRAGASANI;;;;;;;;;;;;;;
944417;DRAGASANI ASAS;40.0;40.0;40.0;40.0;43.3;43.3;43.3;43.3;43.3;43.3;43.3;43.3;42.1;
438238;DROBETA TR.SEVERIN;;;;;;;;;;;;;;
614436;DUMBRAVENI;;;;;;;;;;;;;;
639210;DUMBRAVITA DE CODRU;6.6;6.6;6.6;6.6;10.0;6.6;6.6;6.6;6.6;6.6;6.6;6.6;6.8;
459913;DUNAVATU DE JOS;96.6;96.6;93.3;93.3;93.3;93.3;93.3;93.3;96.6;96.6;96.6;96.6;94.9;
551459;FAGARAS;;;;;;;;;;;;;;
728620;FALTICENI;40.0;40.0;40.0;40.0;40.0;40.0;40.0;43.3;43.3;43.3;43.3;43.3;41.3;
409849;FARU VERDE;93.3;93.3;93.3;90.0;93.3;93.3;93.3;93.3;93.3;93.3;93.3;96.6;93.2;
505719;FAUREI;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.2;
422751;FETESTI;3.3;6.6;6.6;6.6;6.6;3.3;6.6;6.6;6.6;6.6;6.6;6.6;6.0;
433330;FILIASI;73.3;76.6;76.6;76.6;76.6;76.6;76.6;76.6;76.6;76.6;76.6;76.6;76.3;
541712;FOCSANI;;;;;;;;;;;;;;
528518;FUNDATA;;;;;;;;;;;;;;
428632;FUNDULEA;;;;;;;;;;;;;;
530801;GALATI;;;;;;;;;;;;;;
555312;GEOAGIU;76.6;76.6;76.6;76.6;76.6;76.6;76.6;76.6;80.0;80.0;76.6;76.6;77.1;
352557;GIURGIU;;;;;;;;;;;;;;
431937;GLORIA;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.2;
511912;GORGOVA;;;;;;;;;;;;;;
406622;GREACA;66.6;66.6;66.6;66.6;70.0;70.0;70.0;70.0;70.0;70.0;70.0;73.3;69.1;
445718;GRIVITA;;;;;;;;;;;;;;
441900;GURA PORTITEI;16.6;16.6;16.6;16.6;13.3;13.3;13.3;13.3;13.3;13.3;13.3;13.3;14.4;
617220;GURAHONT;;;;3.3;;3.3;;;;;;;0.5;
440242;HALANGA;70.0;70.0;70.0;70.0;66.6;66.6;66.6;66.6;66.6;66.6;66.6;66.6;67.7;
441757;HIRSOVA;;;;;;;;3.3;3.3;;;3.3;0.8;
559519;HOGHIZ;66.6;66.6;66.6;66.6;66.6;66.6;66.6;66.6;66.6;66.6;66.6;66.6;66.5;
646207;HOLOD;;;;;;;;;;;;;;
503826;HORIA;60.0;56.6;56.6;56.6;56.6;56.6;56.6;56.6;56.6;56.6;56.6;56.6;56.8;
651305;HUEDIN;3.3;3.3;3.3;3.3;3.3;3.3;;;;;;;1.6;
641803;HUSI-hydro;36.6;36.6;36.6;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;39.1;
710736;IASI;;;;;;;;;;;;;;
712732;IASI BREAZU;86.6;86.6;83.3;83.3;83.3;83.3;83.3;83.3;83.3;83.3;83.3;83.3;83.8;
910736;IASI ICHV;73.3;73.3;76.6;76.6;76.6;76.6;76.6;76.6;76.6;76.6;76.6;76.6;76.0;
737439;IEZER;;;;;;;;;;;;;;
609331;IGHIU;76.6;76.6;76.6;76.6;76.6;76.6;76.6;76.6;76.6;80.0;80.0;80.0;77.4;
626152;INEU;40.0;40.0;40.0;40.0;40.0;40.0;43.3;43.3;43.3;43.3;43.3;43.3;41.6;
541601;INT.BUZAULUI;;;;;;;;;;;;;;
422345;ISALNITA;56.6;56.6;56.6;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;59.1;
547042;JIMBOLIA;16.6;16.6;16.6;20.0;20.0;16.6;16.6;16.6;16.6;16.6;16.6;16.6;17.1;
642540;JOSENI;;;;;;;;;;;;;;
446853;JURILOVCA;;;;;;;;;;;;;;
551621;LACAUTI;;;;;;;;;;;;;;
701420;LECHINTA;56.6;56.6;56.6;56.6;56.6;56.6;56.6;60.0;60.0;60.0;60.0;60.0;58.0;
541154;LUGOJ;;;;;;;;;;;;;;
505904;MAHMUDIA;40.0;40.0;40.0;40.0;40.0;40.0;40.0;36.6;36.6;36.6;36.6;36.6;38.5;
530729;MAICANESTI;36.6;36.6;36.6;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;39.1;
349835;MANGALIA;;;;;;;;;;;;;;
425730;MARCULESTI;40.0;40.0;40.0;40.0;40.0;40.0;40.0;43.3;43.3;43.3;43.3;43.3;41.3;
415816;MEDGIDIA;;;;;;;;;;;;;;
622544;MIERCUREA CIUC;;;;;;;;;;;;;;
603138;MINIS;76.6;76.6;76.6;76.6;76.6;76.6;76.6;76.6;76.6;76.6;76.6;76.6;76.5;
444127;MOLDOVA VECHE;;;;;;;;;;;;;;
629214;MONEASA IZOI;63.3;63.3;63.3;63.3;63.3;63.3;63.3;63.3;63.3;66.6;66.6;66.6;64.1;
411826;MURFATLAR;76.6;76.6;76.6;76.6;76.6;80.0;80.0;80.0;80.0;80.0;80.0;80.0;78.5;
621310;MUSCA;96.6;96.6;96.6;96.6;96.6;96.6;96.6;96.6;100.0;100.0;100.0;100.0;97.7;
521349;NEGOVANU;53.3;53.3;53.3;53.3;53.3;53.3;53.3;53.3;53.3;56.6;56.6;56.6;54.1;
752325;NEGRESTI OAS;80.0;80.0;80.0;83.3;83.3;83.3;83.3;83.3;83.3;83.3;83.3;83.3;82.4;
650727;NEGRESTI(VASLUI);;;;;;;;;;;;;;
711243;NUSFALAU;66.6;66.6;66.6;66.6;66.6;63.3;63.3;63.3;63.3;63.3;63.3;63.3;64.6;
526338;OB.LOTRULUI;3.3;6.6;3.3;3.3;6.6;6.6;6.6;6.6;6.6;6.6;6.6;6.6;5.7;
747356;OC.SUGATAG;3.3;3.3;3.3;3.3;3.3;6.6;3.3;6.6;3.3;3.3;6.6;6.6;4.3;
546704;ODOBESTI;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;43.3;43.3;43.3;43.3;41.0;
618518;ODORHEIUL SECUIESC;;3.3;3.3;3.3;3.3;3.3;;;;;;;1.3;
512415;OLANESTI BAI;70.0;70.0;66.6;66.6;66.6;66.6;66.6;66.6;66.6;66.6;66.6;66.6;67.1;
404638;OLTENITA;10.0;10.0;10.0;10.0;6.6;6.6;6.6;6.6;6.6;6.6;6.6;6.6;7.7;
628716;ONCESTI;36.6;36.6;36.6;36.6;36.6;36.6;36.6;36.6;36.6;36.6;36.6;40.0;36.8;
703156;ORADEA;;;;;;;;;;;;;;
502141;ORAVITA;;;;;;;;;;;;;;
501252;PADES(APA NEAGRA);;;;;;;;;;;;;;
539357;PALTINIS;;;;;;3.3;3.3;;;;3.3;;0.8;
523328;PARANG;;;;;;;;;;;;;;
715643;PASCANI;53.3;53.3;53.3;56.6;56.6;56.6;53.3;53.3;53.3;53.3;53.3;53.3;54.1;
519622;PATIRLAGELE;;;;;;;;;;;;;;
534505;PECINEAGU;90.0;86.6;86.6;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;89.4;
536625;PENTELEU;23.3;23.3;23.3;23.3;23.3;23.3;23.3;23.3;23.3;23.3;23.3;23.3;23.3;
525323;PETROSANI;;;;;;;;;;;;;;
656621;PIATRA NEAMT;;;;;;;;;;;;;;
534253;PICLISA;30.0;30.0;30.0;33.3;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.2;
502608;PIETROASELE;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.2;
452452;PITESTI;;;;;;;;;;;;;;
414312;PLENITA;76.6;76.6;76.6;76.6;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;78.8;
457600;PLOIESTI;;;;;;;;;;;;;;
644715;PLOPANA;36.6;36.6;36.6;36.6;36.6;36.6;36.6;36.6;36.6;36.6;36.6;40.0;36.8;
713715;PODU ILOAIEI;53.3;53.3;53.3;56.6;56.6;56.6;56.6;56.6;56.6;56.6;56.6;56.6;55.7;
536533;POIANA BRASOV;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;
719507;POIANA STAMPEI;10.0;10.0;10.0;6.6;6.6;6.6;6.6;6.6;6.6;6.6;6.6;6.6;7.4;
511349;POLOVRAGI;;;;;;;3.3;;;;;;0.2;
426508;POPESTI;56.6;53.3;53.3;53.3;53.3;53.3;53.3;53.3;53.3;56.6;56.6;56.6;54.3;
534533;POSTAVARU;53.3;53.3;53.3;53.3;53.3;56.6;56.6;56.6;56.6;56.6;56.6;56.6;55.2;
530535;PREDEAL;;;;;;;;;;;;;;
633209;PRISACA HASMAS;96.6;96.6;96.6;96.6;96.6;96.6;96.6;96.6;96.6;100.0;100.0;100.0;97.4;
751555;RADAUTI;;;;;;;;;;;;;;
727527;RARAU;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.3;33.2;
734711;RAUSENI;36.6;36.6;36.6;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;39.1;
518155;RESITA;;;;;;;;;;;;;;
506422;RM. VILCEA;;;;;;;;;;;;;;
523703;RM.SARAT;;;;;;;;;;;;;;
655650;ROMAN;;;;;;;;;;;;;;
619308;ROSIA MONTANA;10.0;6.6;6.6;6.6;6.6;6.6;6.6;6.6;6.6;6.6;6.6;6.6;6.8;
407500;ROSIORII DE VEDE;;;;;;;;;;;;;;
722205;SACUIENI;;;;3.3;;;;;;;;;0.2;
649136;SALONTA;43.3;43.3;46.6;46.6;46.6;46.6;46.6;46.6;46.6;46.6;46.6;46.6;46.0;
645410;SARMASU;;;;;;;;;;;;;;
748253;SATU MARE;;;;;;;;;;;;;;
557334;SEBES-ALBA;;;;;;;;;;;;;;
651652;SECUIENI NEAMT;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;
507158;SEMENIC;;;;;;;;;;;;;;
552548;SF. GHEORGHE-COVASNA;;;;;;;;;;;;;;
454936;SF. GHEORGHE-DELTA;;;;;;;;;;;;;;
548409;SIBIU;;;;;;;;;;;;;;
758355;SIGHETUL MARMATIEI;;;;;;;;;;;;;;
522532;SINAIA FURNICA;93.3;93.3;93.3;93.3;96.6;96.6;96.6;96.6;96.6;96.6;100.0;100.0;96.0;
521533;SINAIA ORAS;86.6;86.6;86.6;90.0;86.6;90.0;90.0;90.0;90.0;90.0;90.0;90.0;88.8;
523530;SINAIA-1500;;;;;;;;;;;;;;
604037;SINNICOLAUL MARE;;;;;;;;;;;;;;
616140;SIRIA;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;
426421;SLATINA;;;;;;;;;;;;;;
433724;SLOBOZIA;;;;;;;;;;;;;;
443611;SNAGOV;73.3;73.3;73.3;73.3;73.3;76.6;76.6;76.6;76.6;76.6;76.6;76.6;75.2;
641237;STANA DE VALE;;;;;;;;;;;;;;
455454;STEFANESTI ARGES;63.3;63.3;66.6;66.6;66.6;66.6;66.6;66.6;66.6;66.6;66.6;66.6;66.0;
749713;STEFANESTI STINCA;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;26.6;26.6;26.6;29.1;
632229;STEI (PETRU GROZA);;3.3;;3.3;;;;;;;;3.3;0.8;
436447;STOLNICI;;;;;;;;;;;;;;
710657;STRUNGA;36.6;36.6;36.6;36.6;36.6;40.0;40.0;40.0;40.0;40.0;40.0;40.0;38.5;
739615;SUCEAVA;;;;;;;;;;;;;;
509940;SULINA;;;;;;;;;;;;;;
509941;SULINA ORAS;90.0;90.0;86.6;86.6;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;89.4;
728247;SUPURU DE JOS;;;;;;;;;;;;;;
521534;Sinaia Manastire;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
515231;TARCU;;;;;;;;;;;;;;
622414;TARNAVENI(BOBOHALMA);20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;
610244;TEBEA;;;;3.3;;3.3;3.3;3.3;3.3;3.3;3.3;3.3;2.1;
551716;TECUCI;;;;;;;;;;;;;;
502317;TG.JIU;;;;;;;;;;;;;;
503317;TG.JIU BIRSESTI;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
502320;TG.JIU DRAGOENI;63.3;63.3;63.3;63.3;66.6;66.6;66.6;70.0;70.0;66.6;66.6;66.6;66.0;
726352;TG.LAPUS;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;
453344;TG.LOGRESTI;;;;;;;;;;;;;;
632432;TG.MURES;;;;;;;;;;;;;;
714623;TG.NEAMT;;;;3.3;3.3;;;;;;;;0.5;
617637;TG.OCNA;;;;;;;;;;;;;;
600608;TG.SECUIESC;;;;;;;;;;;;;;
444608;TIGANESTI;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
402356;TIMBURESTI;63.3;63.3;63.3;63.3;63.3;63.3;63.3;63.3;63.3;66.6;66.6;66.6;64.1;
546115;TIMISOARA;;;;;;;;;;;;;;
456526;TIRGOVISTE;;;;;;;;;;;;;;
504804;TITCOV BALTA BRAILEI;96.6;96.6;96.6;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.1;
526423;TITESTI;36.6;36.6;36.6;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;39.1;
439534;TITU;;;;;;;;;;;;;;
655522;TOPLITA;;3.3;3.3;3.3;3.3;;;;;;;;1.1;
500437;TRANSFAG. VARA;93.3;96.6;93.3;96.6;96.6;96.6;96.6;96.6;96.6;96.6;100.0;96.6;96.3;
526433;TRANSFAG.CUMPANA;46.6;43.3;43.3;43.3;43.3;43.3;43.3;43.3;43.3;46.6;46.6;46.6;44.3;
511849;TULCEA;;;;;;;;;;;;;;
555640;TULNICI;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;
